,,,W6UL342PU,W6UL342PU,W6UL342PU,W6UL342PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL352PU,W6UL352PU,W6UL352PU,W6UL352PU,W6DXML001SU,W6DXML001SU,W6JML121PU,W6JML121PU,W6JML119SU,W6JML119SU,W6UML357SU,W6UML357SU,W6RML420SU,W6RML420SU,W6UGK243PU,W6UGK243PU,W6UGK243PU,W6UGK243PU
,,,BL,BL,CA,CA,BL,BL,TP,TP,BL,BL,NA,NA,BL,BR,BL,MA,BL,NA,BL,PL,BL,TP,MA,MA,CA,CA
,,,A,D,A,D,A,D,A,D,A,D,A,D,D,D,D,D,D,D,D,D,D,D,K124,K134,K124,K134
SU2,SUNNYPARK COMBO,10,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
SY2,SCOTTS CORNER 2,10,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
GV1,THE GROVE,10,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
CE3,CENTURION MALL COMBO (RELOCATION),10,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
DI1,DIE MEENT,10,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
BM1,MAHUBE MAX CITY,10,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
MH1,MANAKA HEIGHTS,10,,,,,1,,,,1,,,,,,,,1,1,1,1,1,1,,,,
HA1,HATFIELD PLAZA,10,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
PK1,PARKVIEW,10,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
CJ1,CENTRE WALK COMBO,10,,,,,,,,,1,,,,1,1,,,,,1,,1,1,,,,
SY1,SCOTTS CORNER,10,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
SAM,SAM CHURCH,10,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
GG1,GEZINA GALLERIES,10,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
SU1,SUNNY PARK SHOES,10,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
WF1,WAVERLY PLAZA,10,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
SI1,SINNOVILLE,10,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,
CE2,CENTURION MALL SHOES 2,10,,,,,,,,,,,,,1,1,,,,,,,,,,,,
TG1,THE FIELDS,10,,,,,,,,,,,,,1,1,,,,,,,,,,,,
CL1,CLEARWATER,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
WS1,WESTGATE MALL,11,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
WS2,WESTGATE COMBO,11,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
CRE,CRESTA MALL NEW,11,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
PS1,PRESIDENT SQUARE,11,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
KT1,KEY WEST,11,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
COS,COSMO MALL,11,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
KG1,KAGISO,11,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
